file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/Runner.java,Runner,class,5,5,0,5,1,1,0,6,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,0,0,4,0,0,9,8,0,0,0,0,0,36,24,3,0,4,0,0,0,0,16,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/ScheduledFlight.java,flight.reservation.flight.ScheduledFlight,class,5,15,10,5,11,2,0,6,15,0.6363637,0.0,0.0,11,0,11,0,0,0,11,0,0,0,3,0,0,3,0,0,2,0,0,43,6,0,0,0,0,0,1,7,1,3,0,0,0,0,21,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/OrderValidator.java,flight.reservation.order.OrderValidator,class,3,8,5,3,5,1,3,2,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,17,4,0,1,0,0,0,0,1,0,1,2,0,0,0,13,1025,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Customer.java,flight.reservation.Customer,class,9,15,6,9,9,1,0,15,4,0.5833333,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,1,40,4,0,0,0,0,1,0,9,0,7,1,0,0,1,23,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/HelicopterAdapter.java,flight.reservation.plane.HelicopterAdapter,class,2,3,1,2,4,1,0,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,1,1,0,1,0,0,0,0,9,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/PassengerNoFlyListValidator.java,flight.reservation.order.PassengerNoFlyListValidator,class,4,5,1,4,1,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Observer.java,flight.reservation.flight.Observer,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Airport.java,flight.reservation.Airport,class,1,4,3,1,8,1,0,0,8,0.65,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,3,0,0,37,5,0,0,0,0,7,0,9,0,5,0,0,0,0,14,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDroneAdapter.java,flight.reservation.plane.PassengerDroneAdapter,class,2,3,1,2,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,1,2,1,0,1,0,0,0,0,9,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Aircraft.java,flight.reservation.plane.Aircraft,interface,0,7,7,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,class,3,8,5,3,10,1,1,9,0,0.53125,0.0,0.0,8,0,6,2,0,0,6,0,0,0,4,0,0,3,1,0,0,0,1,36,6,0,0,0,0,4,0,4,1,5,1,0,0,1,26,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/CustomerNoFlyListValidator.java,flight.reservation.order.CustomerNoFlyListValidator,class,4,5,1,4,1,2,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrder.java,flight.reservation.order.FlightOrder,class,3,7,4,3,6,2,0,5,4,0.625,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,1,0,1,0,1,1,0,1,23,4,0,0,0,0,2,0,3,0,3,1,0,0,0,19,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/AircraftFactory.java,flight.reservation.plane.AircraftFactory,class,7,8,1,7,4,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,0,0,4,0,0,0,0,1,0,0,0,15,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerPlaneAdapter.java,flight.reservation.plane.PassengerPlaneAdapter,class,2,3,1,2,4,1,0,0,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/Order.java,flight.reservation.order.Order,class,2,5,3,2,10,1,1,1,35,0.8,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,1,0,1,37,5,0,0,0,0,0,0,6,0,5,0,0,0,0,18,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/payment/PaymentStrategy.java,flight.reservation.payment.PaymentStrategy,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Helicopter.java,flight.reservation.plane.Helicopter,class,0,2,2,0,5,1,0,2,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,22,2,0,0,0,0,3,2,3,0,2,1,0,0,0,13,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/CapacityValidator.java,flight.reservation.order.CapacityValidator,class,3,4,1,3,2,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDrone.java,flight.reservation.plane.PassengerDrone,class,0,2,2,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,11,0,0,0,0,0,2,0,1,0,1,1,0,0,0,9,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Schedule.java,flight.reservation.flight.Schedule,class,4,6,2,4,19,1,0,16,0,0.45000002,0.0,0.0,10,0,9,1,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,50,2,3,5,0,1,3,0,4,0,5,2,0,0,1,24,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerPlane.java,flight.reservation.plane.PassengerPlane,class,0,2,2,0,5,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,1,28,0,0,0,0,0,5,8,9,0,3,1,0,0,0,12,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/payment/CreditCard.java,flight.reservation.payment.CreditCard,class,1,3,2,1,7,1,0,5,0,0.56000006,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,1,26,2,0,0,0,0,1,2,6,0,5,0,0,0,0,16,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/payment/PaypalStrategy.java,flight.reservation.payment.PaypalStrategy,class,1,1,0,1,5,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,17,1,0,2,0,0,3,0,2,1,2,1,0,0,0,18,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrderBuilder.java,flight.reservation.order.FlightOrderBuilder,class,6,8,2,6,8,1,0,3,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,32,5,0,3,0,0,1,0,5,0,5,1,0,0,0,23,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/Passenger.java,flight.reservation.Passenger,class,0,4,4,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/payment/Paypal.java,flight.reservation.payment.Paypal,class,0,0,0,0,1,1,0,1,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,7,0,0,0,0,0,4,0,1,0,1,0,0,0,0,8,1,0
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/payment/CreditCardStrategy.java,flight.reservation.payment.CreditCardStrategy,class,2,2,0,2,5,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,1,0,0,5,1,2,2,2,2,0,0,0,22,1,0
